13,4,9929,3,3,1,1,1,0,0,1,0,8,0,1
5,1,9930,7,7,1,6,1,0,0,1,0,16,0,0
8,2,9931,1,1,0,6,0,0,1,1,0,0,0,0
24,2,9932,1,1,0,7,3,0,0,1,0,0,0,0
15,2,9933,5,5,1,1,1,0,0,1,0,0,0,0
34,2,9934,15,15,1,6,1,0,0,12,0,0,4,1
33,4,9935,3,3,1,3,1,0,0,1,0,8,0,1
25,4,4265,7,7,1,6,1,0,0,1,0,0,0,0
35,5,9936,3,3,1,11,1,0,0,1,0,4,0,0
51,5,4098,0,0,0,11,0,0,1,1,0,5,0,0
4,2,9937,4,4,1,9,2,0,1,1,0,0,0,0
22,0,9938,5,5,0,8,0,0,0,1,0,0,0,0
49,2,9939,5,5,2,2,0,0,1,1,0,0,39,0
12,3,5726,1,1,1,0,2,0,1,1,0,0,0,1
42,2,9940,12,12,1,4,1,0,0,1,0,0,0,0
30,4,9941,0,0,2,12,4,0,1,1,0,0,0,0
34,2,9942,3,3,1,3,2,0,1,8,0,7,0,1
23,6,4229,1,1,1,4,1,0,0,1,0,0,0,1
55,4,9943,1,1,1,6,1,0,0,1,0,0,0,0
23,2,2970,9,9,1,3,1,0,0,8,0,4,0,1
24,2,9944,5,5,0,0,3,0,1,1,0,0,0,0
24,5,9945,5,5,0,11,3,0,1,1,0,9,0,0
9,1,9946,10,10,1,3,1,0,0,1,0,4,0,1
5,2,9947,0,0,1,1,1,0,0,3,0,0,0,1
27,2,9948,0,0,1,1,2,0,1,1,0,0,0,0
38,2,9949,5,5,2,4,4,1,1,1,0,24,0,0
4,2,9950,1,1,3,10,0,0,1,1,0,48,0,0
20,2,9951,12,12,1,4,1,0,0,1,0,7,1,1
8,0,9952,7,7,1,12,1,0,0,1,0,14,0,0
39,2,9953,5,5,4,1,4,0,1,1,0,0,0,0
7,5,9954,8,8,1,11,1,0,0,1,0,0,0,0
23,2,9955,5,5,1,2,1,0,0,1,0,0,11,1
3,2,9223,0,0,1,3,1,0,0,1,3,0,0,1
33,2,2841,8,8,1,2,1,0,0,1,0,0,23,0
13,2,9956,1,1,2,5,4,0,1,1,0,6,0,0
18,2,9957,5,5,0,5,3,0,0,1,0,17,0,0
55,1,9958,8,8,1,8,1,0,0,1,0,0,0,0
9,2,9959,5,5,1,4,2,1,1,1,0,6,0,0
11,3,9175,0,0,0,3,0,0,1,1,0,12,0,0
0,2,9960,5,5,2,0,0,0,1,1,0,0,0,0
0,2,9961,1,1,1,6,1,0,0,1,0,6,0,0
5,2,7209,1,1,1,7,1,0,0,1,0,0,0,0
15,2,9962,7,7,0,0,0,0,1,1,0,0,0,0
8,1,6434,1,1,0,4,4,0,1,1,0,0,0,0
0,2,1641,1,1,2,1,0,0,0,1,0,3,0,0
0,2,2913,0,0,1,5,1,0,0,1,0,6,0,1
15,2,9963,0,0,0,0,3,1,0,1,0,7,0,0
10,2,9964,2,2,1,7,1,0,0,1,0,0,0,0
5,2,9965,4,4,1,9,2,1,1,1,0,17,0,0
24,2,9966,1,1,0,6,4,0,1,1,0,26,5,0
34,3,2542,3,3,1,1,1,0,0,1,12,0,0,1
17,2,9967,0,0,2,5,0,0,1,1,2,14,0,0
39,2,7784,6,6,0,6,0,0,0,1,0,3,0,0
44,0,9968,0,0,0,1,0,0,0,1,0,0,0,0
35,2,2845,5,5,2,0,0,0,0,1,0,3,0,0
3,4,9969,3,3,2,3,4,0,1,1,0,4,0,0
42,0,9970,1,1,2,0,0,0,1,1,74,0,0,0
41,2,9971,2,2,0,12,3,0,1,1,0,6,0,0
35,2,9972,5,5,2,2,0,0,0,1,0,0,0,0
35,1,135,10,10,0,3,0,0,0,1,0,16,0,1
13,4,9973,1,1,3,8,3,1,0,1,0,0,0,0
35,2,9974,1,1,1,7,1,1,0,1,0,4,0,1
4,2,9975,1,1,1,7,1,0,0,1,0,16,0,0
0,2,9976,3,3,1,3,1,0,0,38,0,0,0,1
6,2,378,11,11,0,9,0,0,0,1,0,3,0,0
58,6,5399,1,1,1,1,1,0,0,1,0,0,0,0
43,2,9977,5,5,1,2,1,0,0,1,0,9,0,0
25,6,9978,1,1,1,6,1,0,0,1,0,8,0,1
42,2,2340,1,1,3,9,0,0,0,1,0,0,15,0
32,5,8673,5,5,0,11,3,0,1,1,0,52,0,0
22,2,3471,1,1,1,5,5,0,0,1,0,9,0,0
6,2,7067,1,1,1,4,1,2,0,1,0,0,28,0
37,3,9979,1,1,1,2,1,2,0,1,0,0,0,0
5,2,7881,12,12,2,4,4,0,1,1,0,37,0,0
12,0,3342,1,1,1,12,1,0,0,1,0,0,0,0
39,6,9980,9,9,1,3,1,0,0,1,0,8,0,0
33,2,5958,7,7,1,4,1,0,0,1,0,50,0,0
14,2,9981,1,1,1,9,1,1,0,1,0,0,0,0
43,2,8758,1,1,2,0,5,1,1,1,0,7,0,0
15,2,9982,1,1,0,6,3,1,0,1,0,0,0,0
51,2,9983,6,6,0,5,3,0,0,1,0,6,0,0
32,2,9984,1,1,0,5,3,0,1,1,0,6,0,0
18,2,9703,1,1,1,5,1,0,0,1,0,4,0,0
35,2,8638,1,1,2,0,4,1,1,1,0,0,4,0
20,2,9985,1,1,1,6,1,0,0,1,0,7,0,1
13,0,6983,7,7,0,6,0,0,0,1,0,0,0,0
27,2,8072,15,15,0,4,3,0,1,1,0,14,0,0
48,2,9986,1,1,6,5,0,0,1,1,0,0,0,1
9,2,9987,1,1,1,9,2,0,1,1,0,0,0,0
4,2,9329,1,1,0,7,3,0,0,1,0,9,0,0
0,0,9988,5,5,2,0,4,0,1,1,0,7,0,0
55,1,9989,7,7,1,8,1,0,0,1,0,13,0,0
22,2,2585,5,5,0,4,3,0,1,1,0,9,0,0
7,2,8374,1,1,1,9,1,0,0,11,0,0,0,1
27,5,9990,5,5,0,11,0,2,0,38,0,4,6,1
0,2,9991,5,5,2,5,0,0,1,1,0,0,0,0
32,2,9992,1,1,0,9,0,0,1,1,0,6,0,0
6,2,2190,8,8,1,9,2,0,1,1,0,0,38,0
26,2,9993,5,5,0,3,3,0,0,1,0,17,0,0
18,5,6847,1,1,1,11,1,0,0,1,0,6,0,0
2,2,9994,1,1,1,0,1,0,0,1,0,0,0,1
42,2,9995,1,1,1,6,1,0,0,1,0,0,0,0
37,2,2265,12,12,1,6,5,0,0,1,0,16,0,0
14,2,9996,1,1,4,0,4,0,1,1,0,0,0,0
17,4,9997,5,5,0,3,0,0,1,1,0,0,5,0
2,2,9998,1,1,0,0,4,0,1,1,0,0,0,0
12,2,9999,1,1,2,0,5,0,1,1,0,0,0,0
39,0,10000,5,5,4,10,0,0,0,1,0,30,0,0
12,3,10001,6,6,1,12,1,0,0,1,0,4,0,0
14,2,10002,3,3,1,1,1,0,0,1,0,4,26,0
34,2,3879,0,0,1,4,1,0,0,1,0,6,0,1
25,2,8800,3,3,1,1,1,0,0,1,0,0,0,1
11,2,6016,5,5,0,1,3,0,0,1,0,0,0,0
25,3,4968,8,8,3,2,4,0,0,1,0,0,0,0
38,2,10003,1,1,1,1,1,0,0,1,0,48,0,1
35,2,10004,10,10,1,3,1,0,0,3,0,8,4,1
15,2,10005,0,0,0,4,0,0,1,1,0,9,0,0
16,2,10006,5,5,1,6,1,0,0,10,0,14,0,0
37,4,4199,6,6,0,3,0,0,1,1,0,0,0,0
20,2,10007,13,13,4,9,4,0,0,1,0,0,0,0
17,1,10008,5,5,1,6,1,0,0,1,37,17,0,0
0,2,10009,1,1,1,5,1,0,0,1,5,28,0,1
52,1,10010,1,1,1,5,2,0,1,1,0,13,0,0
37,2,10011,5,5,0,0,0,0,1,1,0,0,0,0
26,2,802,5,5,0,5,3,0,0,1,0,0,0,0
27,2,2659,5,5,0,3,3,0,1,1,0,0,0,0
8,2,10012,5,5,1,6,1,0,0,1,0,0,0,0
24,2,2454,12,12,0,6,3,0,0,1,0,12,0,0
51,2,10013,0,0,0,1,0,0,1,1,0,3,0,0
23,6,10014,1,1,1,6,1,0,0,1,0,17,0,0
39,2,3585,1,1,0,7,5,2,0,1,0,0,0,0
42,5,10015,11,11,1,11,1,0,0,1,0,17,5,0
31,2,10016,4,4,2,9,4,1,1,1,0,0,0,0
60,2,10017,1,1,6,0,0,0,1,106,0,0,0,0
18,1,10018,1,1,1,6,1,0,0,1,0,8,0,1
3,0,10019,1,1,1,6,1,0,0,1,0,0,0,0
13,2,10020,5,5,0,1,3,0,1,1,0,0,0,0
22,2,10021,1,1,0,4,3,0,0,1,0,6,0,0
62,2,10022,1,1,6,0,4,0,1,95,0,30,0,0
30,4,10023,1,1,0,4,4,0,1,1,0,13,0,0
23,2,10024,3,3,1,0,1,0,0,1,0,3,0,1
37,2,10025,1,1,1,2,1,0,0,1,0,0,0,0
34,6,3879,10,10,1,3,1,0,0,38,0,8,0,1
42,2,10026,5,5,1,7,1,1,0,1,0,7,0,0
8,2,4690,5,5,1,1,1,1,0,1,0,0,0,1
23,2,10027,5,5,2,5,0,0,1,1,0,16,0,0
45,2,10028,1,1,1,1,1,0,0,1,0,45,0,0
2,2,10029,5,5,1,1,1,0,0,1,0,3,0,0
41,2,5509,12,12,0,4,3,0,0,1,0,0,0,0
39,2,10030,1,1,1,0,2,0,1,1,5,9,0,1
24,2,10031,15,15,3,4,4,1,1,1,0,4,0,0
11,2,10032,5,5,0,4,3,0,1,1,0,6,0,0
15,2,10033,1,1,0,6,4,0,0,1,0,0,0,0
39,2,3891,0,0,1,3,1,0,0,31,0,15,0,1
8,5,10034,1,1,1,11,1,0,0,1,0,6,5,0
5,2,7060,1,1,0,4,4,0,1,1,0,7,0,0
3,2,7343,1,1,4,0,4,0,1,1,13,14,0,0
4,4,2839,5,5,0,12,3,0,0,1,0,0,0,0
39,2,10035,0,0,1,3,2,0,1,1,0,0,0,1
