831,1344,8,8,19,1,1,7,11,3
831,1339,16,16,5,0,0,1,11,3
831,1277,2,2,0,1,1,0,11,3
831,1348,10,10,11,1,1,0,11,3
831,1208,7,7,6,1,0,7,11,3
831,982,59,59,42,1,1,0,11,3
831,1294,67,67,9,0,1,1,11,3
831,953,0,0,1,1,1,0,11,3
831,1320,32,32,5,0,0,2,11,3
831,1292,6,6,5,1,1,0,11,3
831,1329,32,32,2,1,1,5,11,3
831,1342,82,82,9,1,1,12,11,3
831,1322,12,12,1,1,1,8,7,2
831,969,12,12,1,1,1,0,7,2
831,1312,12,12,1,0,0,14,7,2
831,1331,6,6,11,0,1,1,7,2
831,1316,12,12,0,0,1,12,7,2
831,14,21,21,1,1,1,15,7,2
831,1317,33,33,9,1,1,15,7,2
831,1318,31,31,1,1,1,0,7,2
831,1212,12,12,2,1,1,7,7,2
831,11,7,7,4,1,1,0,10429,1
831,1327,60,60,11,1,1,11,1,1
831,1318,47,47,11,1,1,12,292,1
831,982,4,4,9,1,1,12,11242,1
831,973,4,4,1,1,1,0,11243,1
831,973,41,41,5,1,1,12,11244,1
831,1344,0,0,2,0,1,1,10873,1
831,1265,55,55,7,1,1,5,235,1
831,1326,9,9,1,0,0,12,11245,1
831,1325,31,31,3,1,1,0,2094,1
831,1267,17,17,11,1,1,7,549,1
831,1333,3,3,2,1,1,7,2056,1
831,1332,37,37,9,0,1,1,1,1
831,1316,39,39,8,1,1,5,11246,1
831,1328,4,4,0,0,0,6,11247,1
831,1277,68,68,5,0,1,1,1,1
831,1203,31,31,14,1,1,12,1277,1
831,1325,41,41,2,1,0,0,29,1
831,1317,139,139,2,1,1,5,5875,1
831,1324,31,31,11,1,1,12,11248,1
831,722,8,8,2,0,1,1,235,1
831,1349,102,102,5,1,1,2,11249,1
831,1340,68,68,6,1,0,1,33,1
831,1337,34,34,1,1,1,18,105,1
831,1338,49,49,41,1,1,26,1,1
831,1315,143,143,1,0,0,12,11250,1
831,1339,114,114,8,1,1,12,11251,1
831,1329,34,34,6,1,1,5,46,1
831,953,10,10,1,0,1,1,1,1
831,969,15,15,37,1,1,8,11252,1
831,1324,33,33,5,1,1,12,11253,1
831,11,81,81,6,1,1,14,11254,1
831,1349,68,68,2,1,1,80,11255,1
831,1346,41,41,1,0,0,0,839,1
831,1344,10,10,2,1,1,7,1702,1
832,1251,32,32,1,0,0,7,46,0
832,1345,103,103,11,0,0,1,622,0
832,909,47,47,0,0,0,0,11256,0
832,865,3,3,20,0,1,1,339,0
832,1338,2,2,2,0,0,6,11257,0
832,1339,128,128,9,1,1,15,2193,0
832,969,10,10,2,1,0,5,117,0
832,1320,26,26,6,0,0,0,40,0
832,1331,60,60,11,1,1,15,28,0
832,1344,167,167,9,1,1,0,11,2
832,1320,60,60,102,1,1,12,11,2
832,1327,31,31,2,1,1,18,11,2
832,1337,120,120,1,0,0,0,11,2
832,1287,120,120,6,1,1,14,11,2
832,1319,2,2,11,1,1,0,11,3
832,913,20,20,1,1,0,0,11,3
832,1260,3,3,21,0,1,1,11,3
832,1306,162,162,11,1,1,0,11,3
832,1332,2,2,57,0,1,0,11,3
832,686,21,21,1,1,0,0,11,3
832,1326,145,145,96,0,1,1,11,3
832,953,51,51,11,1,0,11,11,3
832,1342,9,9,1,1,1,5,11,3
832,1343,175,175,9,0,0,9,11,3
832,1342,10,10,26,1,1,5,11,3
832,1208,81,81,0,0,1,1,11,3
832,1329,6,6,5,1,1,81,11,3
832,1174,3,3,21,0,1,15,11,3
832,941,32,32,5,1,2,13,7,2
832,973,60,60,102,1,1,12,11258,1
832,983,15,15,11,1,1,8,11259,1
832,890,2,2,9,0,1,1,1,1
832,1251,153,153,11,1,1,26,1081,1
832,1329,286,286,8,1,1,0,11260,1
832,1064,59,59,2,0,1,1,1,1
832,1329,31,31,36,1,1,12,11261,1
832,1338,190,190,9,1,1,8,42,1
832,1324,33,33,11,1,1,5,235,1
832,677,89,89,1,1,1,14,1512,1
833,802,60,60,11,0,1,1,11262,0
833,1277,33,33,11,1,1,15,46,0
833,1285,110,110,1,0,0,0,63,0
833,1320,44,44,0,1,1,15,28,0
833,946,89,89,5,0,0,1,1734,0
