0,6,986,0,0,1,1,1,0,0,7,0,4,0,1
22,2,987,5,5,0,4,3,0,0,1,0,0,0,0
1,2,988,9,9,1,3,1,0,0,1,3,31,0,1
2,0,989,1,1,1,3,2,0,1,1,0,0,0,1
11,4,990,0,0,0,3,3,0,1,1,0,8,0,0
8,2,991,1,1,0,4,3,0,0,1,0,2,0,0
50,2,992,0,0,1,0,1,0,0,1,0,0,0,0
48,2,993,1,1,4,9,0,1,0,1,0,0,0,0
0,6,994,1,1,1,1,1,0,0,1,0,0,0,1
17,1,995,1,1,1,6,1,0,0,7,0,10,0,1
51,2,996,5,5,1,5,1,0,0,1,0,4,11,0
49,2,997,1,1,2,9,0,0,1,1,0,0,0,0
14,2,998,7,7,0,7,3,0,0,1,0,0,0,0
1,2,999,1,1,1,9,1,0,0,31,0,0,0,1
9,2,1000,5,5,1,3,1,0,0,1,0,11,0,1
2,2,1001,3,3,1,3,1,0,0,1,0,13,0,0
25,2,1002,8,8,1,2,1,0,0,1,0,0,0,0
39,2,1003,7,7,1,10,2,0,1,1,0,0,0,1
49,2,1004,1,1,6,4,4,0,1,1,0,19,0,0
24,2,1005,1,1,2,6,0,0,0,1,0,0,0,0
21,5,1006,1,1,0,11,3,0,0,1,0,6,0,0
30,2,1007,5,5,0,6,0,0,0,1,0,4,29,0
25,4,1008,3,3,1,3,1,0,0,1,0,7,0,1
9,2,1009,1,1,4,5,0,0,1,1,0,6,0,0
14,2,1010,5,5,1,4,1,0,0,1,0,0,0,0
11,2,1011,1,1,0,9,4,1,1,1,0,0,0,0
20,2,1012,1,1,1,4,1,0,0,1,0,4,30,0
10,2,1013,0,0,0,3,0,1,0,1,0,3,4,0
23,2,1014,1,1,1,1,1,0,0,1,0,16,0,1
25,2,1015,12,12,1,0,2,0,1,1,0,0,0,0
25,6,1016,3,3,3,5,0,2,0,1,0,4,3,0
8,2,1017,7,7,0,0,0,0,1,1,0,0,0,0
22,0,745,6,6,0,4,3,0,0,1,6,9,0,0
37,2,1018,5,5,0,5,0,0,0,1,0,0,0,0
12,2,1019,1,1,0,4,0,1,1,1,0,0,0,0
40,5,1020,8,8,6,11,0,0,0,1,0,21,0,0
21,5,1021,1,1,0,11,4,0,0,1,30,0,0,0
48,6,1022,4,4,1,1,1,0,0,13,0,32,4,0
5,2,1023,1,1,0,4,0,0,0,1,0,35,0,0
14,2,1024,1,1,2,14,4,1,1,1,0,6,0,0
14,5,1025,2,2,1,11,2,0,1,1,0,39,0,0
53,2,1026,1,1,0,4,0,0,1,1,0,0,0,0
11,2,1027,5,5,0,9,3,1,1,1,0,0,0,0
16,2,662,5,5,2,0,0,0,1,1,0,0,0,0
29,2,1028,0,0,1,1,1,0,0,8,0,8,0,1
27,2,1029,5,5,0,10,0,0,1,1,0,48,0,0
4,2,1030,10,10,2,3,4,0,0,1,0,16,0,0
45,5,1031,6,6,0,11,0,0,1,1,0,9,0,0
11,2,1032,5,5,1,4,1,0,0,1,0,0,0,0
22,2,1033,5,5,0,5,0,0,1,1,0,4,0,0
