21,2,20307,15,15,0,4,5,0,1,1,0,6,0,0
23,4,20308,0,0,2,1,4,1,1,1,0,8,0,0
49,1,6592,15,15,1,4,1,0,0,1,0,55,0,0
62,5,20309,6,6,2,11,4,0,1,1,0,32,0,0
23,1,4133,0,0,1,3,1,0,0,1,0,6,0,0
25,2,4090,5,5,2,0,0,0,1,1,0,4,0,0
52,3,20310,5,5,1,0,1,0,0,12,0,0,0,1
9,2,1739,1,1,0,5,3,0,1,1,0,0,0,0
21,0,833,5,5,0,0,3,0,1,1,0,33,0,0
0,1,10725,1,1,1,5,1,0,0,1,0,20,0,0
34,2,20311,1,1,1,9,1,0,0,1,0,4,0,1
50,4,10344,1,1,1,12,1,0,0,73,0,0,0,0
35,2,13695,5,5,2,3,4,0,1,1,0,3,0,0
26,2,11576,1,1,0,6,4,0,0,1,0,7,0,0
30,2,20312,10,10,1,1,1,0,0,1,0,0,0,1
41,2,20313,2,2,0,4,3,0,1,1,0,9,0,0
31,2,13577,1,1,1,9,1,0,0,1,0,0,0,0
7,2,4134,5,5,2,0,0,0,1,1,0,8,0,0
39,2,674,6,6,1,5,1,0,0,1,0,0,5,0
2,2,15319,3,3,0,1,4,1,1,1,0,7,0,0
9,2,629,0,0,1,5,1,0,0,1,0,0,0,1
27,0,20314,6,6,1,0,1,0,0,1,0,6,0,0
19,2,20315,5,5,1,1,1,0,0,1,0,8,0,1
35,2,3237,0,0,1,5,1,0,0,1,19,3,0,1
17,2,11221,5,5,1,10,1,0,0,8,0,0,0,1
0,2,18162,0,0,1,5,1,0,0,7,0,4,0,1
9,1,6494,1,1,1,7,1,0,0,1,0,83,0,0
17,1,20316,0,0,1,6,1,0,0,1,0,4,0,0
51,2,2069,6,6,3,6,5,2,1,1,0,0,4,0
1,2,1411,1,1,1,2,1,0,0,1,0,0,0,1
9,2,1631,7,7,1,4,1,0,0,1,0,3,0,0
25,3,8113,0,0,1,0,2,0,1,8,0,0,0,1
8,2,19301,0,0,6,4,0,0,1,1,0,6,0,0
20,2,19843,1,1,0,3,0,0,1,1,0,3,0,0
4,4,20317,6,6,1,0,2,0,1,1,0,0,0,1
14,2,2022,1,1,1,0,1,0,0,1,0,3,0,1
4,2,20318,1,1,0,7,0,0,1,1,0,0,0,0
30,2,1539,0,0,1,6,1,2,0,1,0,0,4,1
29,2,2674,5,5,1,7,1,0,0,1,5,8,0,1
14,2,2747,6,6,1,6,1,0,0,1,0,31,0,0
51,2,18077,3,3,0,3,0,0,0,1,0,16,0,1
5,2,5844,0,0,0,1,0,0,0,1,59,0,0,1
45,5,20319,5,5,1,11,1,0,0,25,0,12,0,0
15,2,20320,7,7,2,0,4,0,1,1,0,0,0,0
25,1,2954,5,5,1,6,1,0,0,1,0,0,0,0
33,2,20321,5,5,2,0,0,0,1,1,0,0,0,0
41,2,930,2,2,0,4,5,0,1,1,0,9,0,0
29,2,20322,11,11,1,9,1,0,0,1,0,0,5,0
34,4,20323,5,5,2,7,0,0,1,1,0,0,0,0
12,5,20324,0,0,2,11,0,0,0,1,0,4,0,0
