29,2,2131,1,1,1,7,1,0,0,1,0,0,0,0
55,2,2132,7,7,1,8,1,0,0,49,0,8,0,0
4,3,2133,6,6,1,0,1,0,0,1,0,8,0,0
42,2,2134,0,0,6,0,4,0,1,1,0,0,0,0
6,4,2135,0,0,0,3,3,0,1,1,0,4,0,0
8,2,2136,1,1,4,1,4,0,1,1,0,30,0,0
33,2,2137,1,1,1,9,2,1,1,1,0,0,0,1
23,2,2138,1,1,1,7,1,0,0,1,0,0,0,1
18,2,2139,1,1,0,4,0,1,1,1,0,0,0,0
14,1,2140,0,0,1,5,1,2,0,1,0,8,6,0
6,4,2141,1,1,6,12,0,1,0,1,0,0,0,0
0,5,2142,5,5,2,11,0,0,1,1,0,7,0,0
37,2,572,1,1,0,4,0,0,1,1,0,29,0,0
9,2,2143,1,1,1,2,1,0,0,1,0,0,0,0
52,5,2144,11,11,1,11,1,0,0,1,0,6,0,1
45,1,2145,1,1,0,4,0,0,0,15,0,0,0,0
39,2,2146,5,5,1,5,1,0,0,1,0,17,0,1
11,2,2147,5,5,0,0,0,0,1,1,0,0,0,0
23,2,2148,3,3,1,1,1,0,0,1,0,4,0,1
14,2,2149,1,1,0,9,4,1,1,1,0,0,0,0
3,2,2150,1,1,2,5,0,0,1,1,0,48,5,0
24,2,2151,12,12,0,6,0,0,0,1,0,6,0,0
28,0,2152,1,1,4,4,0,0,1,1,0,7,0,0
22,5,2153,5,5,0,11,3,0,1,1,0,39,0,0
11,2,2154,8,8,0,6,3,1,0,1,0,0,0,0
8,2,2155,2,2,0,7,4,0,0,1,0,0,0,0
11,0,2156,0,0,0,10,0,0,0,1,0,22,0,0
10,2,2157,1,1,4,0,4,0,1,1,0,0,0,0
12,4,2158,0,0,4,3,0,0,1,1,0,4,0,1
9,2,2159,6,6,1,0,2,1,1,1,0,0,0,1
49,2,2160,8,8,1,7,1,0,0,1,0,0,1,0
19,1,2161,0,0,1,5,1,0,0,7,0,0,0,1
35,2,2162,0,0,0,1,3,0,1,1,0,0,0,0
23,2,2163,1,1,0,5,0,1,0,1,0,0,0,0
18,2,2164,7,7,1,5,1,0,0,1,0,4,11,1
39,2,2165,8,8,1,9,1,0,0,1,0,0,0,0
16,2,2166,7,7,2,3,4,0,1,1,0,0,0,0
52,2,2167,1,1,1,10,2,0,1,1,0,0,0,1
5,0,2168,0,0,1,3,1,0,0,1,0,16,0,1
18,2,2169,5,5,0,10,4,0,1,1,0,0,0,0
35,2,2127,5,5,1,0,1,0,0,1,0,10,0,0
2,3,2170,10,10,1,3,1,0,0,1,12,4,0,1
17,2,1759,8,8,1,6,1,0,0,1,0,0,0,0
49,2,2171,7,7,1,2,1,0,0,1,0,0,0,1
23,2,2172,6,6,1,6,1,0,0,1,0,3,0,1
58,3,2173,5,5,2,1,4,0,1,1,0,0,0,0
49,2,2174,5,5,1,6,1,0,0,1,0,0,0,1
50,1,2175,3,3,2,5,0,0,0,1,0,43,0,0
45,4,2176,1,1,2,0,0,0,1,1,0,0,0,0
22,2,2177,5,5,0,2,3,0,0,1,0,0,0,0
29,3,2178,0,0,1,0,1,2,0,1,0,0,13,1
0,2,2179,0,0,2,1,4,0,1,1,0,17,0,0
23,0,2180,5,5,0,0,4,0,1,1,0,0,0,0
29,2,2181,9,9,1,0,1,0,0,1,0,16,0,1
24,3,2182,5,5,0,1,0,0,1,1,0,0,0,0
58,6,2183,1,1,1,1,1,0,0,1,0,0,0,1
51,2,2184,7,7,4,4,0,1,0,1,0,0,0,0
9,1,2185,0,0,1,8,1,0,0,1,0,3,0,0
22,2,2186,1,1,0,4,3,0,1,1,0,13,0,0
31,2,2187,3,3,1,5,1,0,0,12,0,0,0,1
2,4,1480,0,0,0,1,4,2,0,1,16,0,37,0
15,2,2188,1,1,0,7,3,0,0,1,0,0,0,0
37,2,2189,0,0,1,6,5,0,0,1,0,4,0,0
34,2,2190,7,7,2,0,0,0,1,1,0,0,0,0
8,2,2191,5,5,2,6,0,0,0,1,0,8,0,0
27,2,2192,7,7,0,1,3,0,0,1,0,7,0,0
16,2,2193,5,5,1,5,1,0,0,1,0,4,0,1
11,2,2194,15,15,0,9,3,0,0,1,0,49,5,0
12,4,2195,1,1,0,7,4,1,1,1,0,48,0,0
29,2,2196,1,1,1,6,1,0,0,1,0,0,15,0
13,1,2197,0,0,1,5,1,0,0,1,0,0,0,0
2,2,2198,1,1,2,6,4,0,0,1,0,0,0,0
11,2,2199,7,7,0,9,0,0,0,1,0,0,0,0
21,2,2200,5,5,0,5,3,0,1,1,39,33,0,0
30,2,121,5,5,1,5,1,0,0,1,0,0,0,0
25,2,2201,1,1,1,6,1,0,0,1,0,0,0,0
11,2,2202,5,5,1,9,1,0,0,1,3,0,0,0
33,2,2203,6,6,6,4,3,0,1,1,0,7,0,0
9,2,2204,1,1,1,6,1,0,0,1,0,0,0,0
41,2,2205,12,12,0,5,5,0,1,1,0,33,0,0
31,4,2206,10,10,0,3,0,0,1,1,0,20,0,0
26,0,2207,5,5,0,3,0,0,1,1,0,9,0,0
32,5,2208,2,2,0,11,3,0,0,1,0,69,0,0
8,2,2209,1,1,1,4,1,0,0,1,0,0,5,1
37,4,2210,0,0,0,3,4,0,1,1,0,0,0,0
31,2,2211,9,9,0,3,0,0,0,1,0,0,10,0
11,2,2212,0,0,0,5,0,0,1,1,0,3,0,0
30,2,2213,3,3,1,3,1,2,0,1,0,16,21,1
34,4,2214,0,0,1,3,1,0,0,1,0,7,0,1
14,2,2215,5,5,1,12,5,1,1,1,0,13,22,0
9,1,1862,1,1,1,6,1,0,0,1,0,27,0,0
32,2,2216,1,1,0,2,3,0,1,1,6,12,0,0
34,2,2217,1,1,2,6,0,0,0,1,0,48,0,0
32,5,2218,2,2,0,11,3,0,0,1,0,12,0,0
7,2,2219,5,5,1,6,1,0,0,1,0,0,0,1
20,2,2220,1,1,2,6,4,0,1,1,0,0,0,0
26,2,2221,7,7,0,9,3,0,0,1,0,0,0,0
24,1,2222,1,1,0,6,5,0,0,1,0,9,0,0
8,2,2223,0,0,2,0,4,0,1,1,0,3,0,0
30,1,2224,1,1,1,4,1,0,0,1,0,8,0,0
