16,1,21246,5,5,1,8,1,0,0,1,0,55,0,0
41,2,21247,2,2,0,14,3,0,1,1,0,30,0,0
35,2,13113,15,15,0,7,0,2,0,1,0,3,4,0
35,2,1434,1,1,1,6,1,0,0,4,0,0,14,0
10,2,21248,1,1,1,7,1,0,0,31,0,20,0,1
23,2,8237,1,1,1,6,1,0,0,1,0,0,0,0
49,1,2171,1,1,1,7,1,0,0,1,0,4,0,0
31,2,5214,5,5,1,1,1,0,0,1,0,17,0,0
18,1,11638,7,7,0,8,3,0,0,1,0,31,0,0
21,2,17543,5,5,0,5,3,0,1,1,0,9,0,0
20,2,9858,4,4,1,5,1,0,0,1,0,0,0,0
45,5,21249,5,5,6,11,0,0,0,1,0,52,0,0
57,5,21250,1,1,0,11,0,0,0,1,0,0,0,0
27,2,21251,1,1,1,9,2,0,1,1,0,27,0,0
39,2,1010,6,6,1,12,1,0,0,1,0,0,0,0
16,2,778,0,0,0,5,4,1,1,1,0,7,0,1
24,0,21252,5,5,0,4,3,0,0,1,0,3,0,0
29,2,12623,5,5,0,4,0,1,0,1,0,16,0,0
5,2,18873,1,1,4,6,0,0,0,1,0,4,0,0
14,6,5973,5,5,0,5,0,0,0,1,0,35,0,0
16,2,21253,7,7,4,5,4,0,1,1,0,3,0,0
0,2,4031,1,1,2,0,4,0,1,1,0,0,0,0
10,2,19514,5,5,1,2,1,0,0,1,0,19,0,0
50,2,21254,8,8,0,2,0,0,1,1,0,37,0,0
8,5,21255,5,5,1,11,2,0,1,1,0,33,0,0
23,4,21256,1,1,2,0,4,0,1,1,0,7,0,0
10,2,21257,5,5,2,0,4,1,1,1,0,0,0,0
9,2,21258,5,5,1,3,2,0,1,1,0,26,0,0
1,2,21259,3,3,1,1,1,0,0,1,0,4,0,1
15,4,15535,7,7,0,12,3,0,0,1,0,6,0,0
14,2,21260,0,0,1,1,1,0,0,1,0,0,0,1
1,2,21261,5,5,1,5,1,0,0,1,0,0,0,1
60,5,21262,2,2,1,11,1,0,0,1,0,0,0,0
52,0,12149,9,9,1,3,1,0,0,1,0,16,0,0
30,2,4315,6,6,1,3,1,0,0,7,0,8,0,1
46,1,21263,8,8,1,8,1,0,0,1,0,33,0,0
13,1,6857,10,10,2,4,0,0,1,1,18,7,0,0
24,2,5198,0,0,0,1,3,0,1,1,0,6,0,0
7,2,3226,0,0,0,3,0,0,0,1,0,14,0,0
10,2,17059,5,5,0,2,0,0,0,1,0,16,0,0
35,5,12136,1,1,4,11,0,0,1,1,0,6,0,0
13,2,13358,5,5,1,9,1,0,0,1,0,0,0,0
8,3,3613,6,6,1,5,1,2,0,1,0,0,0,0
29,2,1665,0,0,1,1,1,0,0,7,0,3,0,1
2,4,9851,10,10,1,3,1,1,0,1,0,0,0,1
34,2,16729,10,10,0,1,0,0,0,1,0,4,0,1
28,3,3010,10,10,2,1,0,1,0,1,0,16,0,1
0,2,11264,2,2,1,7,1,0,0,1,0,0,0,0
9,2,3034,0,0,2,1,0,0,1,1,0,16,0,1
16,2,21264,7,7,1,5,1,0,0,1,0,0,0,1
24,2,20949,5,5,0,5,0,0,1,1,0,67,0,0
29,2,14769,0,0,1,6,1,0,0,1,0,4,0,1
24,5,17943,5,5,0,11,3,2,1,1,0,12,6,0
5,2,21265,5,5,1,5,2,0,1,1,0,0,0,1
22,5,21266,5,5,0,11,3,0,1,1,0,43,0,0
51,0,21267,0,0,0,0,0,0,1,1,0,5,0,0
18,2,128,1,1,0,4,0,0,0,1,0,6,0,0
4,2,21268,1,1,0,2,3,0,1,1,0,0,0,0
14,2,7208,5,5,0,0,0,2,1,1,0,7,29,0
41,5,21269,12,12,0,11,3,0,1,1,0,9,0,0
32,2,21270,1,1,0,9,0,0,0,1,0,0,0,0
15,2,8736,1,1,0,9,3,0,0,1,0,0,0,0
29,6,10651,0,0,1,6,1,0,0,1,0,4,0,1
43,2,21271,13,13,6,2,0,0,1,1,0,0,0,0
0,2,1054,5,5,1,1,1,0,0,1,0,4,0,1
43,2,21272,0,0,1,3,1,0,0,1,34,0,0,1
21,5,21273,5,5,0,11,3,0,1,1,0,0,0,0
24,2,21274,1,1,6,0,3,0,1,1,0,0,0,0
21,2,21275,5,5,0,2,3,0,0,1,0,13,0,0
23,2,20551,0,0,0,10,3,0,0,1,0,0,0,0
22,2,4807,5,5,0,0,3,0,1,1,0,13,0,0
5,2,21276,1,1,2,9,0,2,1,1,0,0,13,0
51,2,19044,5,5,0,6,0,0,0,1,0,0,0,0
41,5,21277,12,12,0,11,3,0,1,1,0,12,0,0
51,2,21278,0,0,1,1,2,0,1,1,0,16,0,1
50,2,7527,1,1,4,4,4,0,1,1,0,0,24,0
43,5,21279,9,9,1,11,1,0,0,1,0,13,0,1
45,2,21280,1,1,6,5,0,0,1,24,0,4,26,1
21,2,19111,1,1,1,5,5,0,1,1,0,13,0,0
35,2,4831,0,0,2,2,0,0,0,1,0,6,0,0
33,2,21281,6,6,0,0,0,0,1,1,0,0,0,0
57,2,21282,5,5,1,5,1,0,0,1,0,0,0,0
35,0,1108,10,10,0,3,0,0,0,1,0,0,0,0
2,1,14906,5,5,0,5,0,0,0,1,0,8,0,0
17,2,21283,1,1,1,6,1,0,0,1,0,17,0,1
8,2,8697,0,0,0,1,0,0,0,1,0,4,0,0
51,2,21284,5,5,4,8,3,0,0,1,0,0,0,0
1,2,8933,1,1,1,1,1,0,0,1,3,0,0,1
30,2,21285,5,5,0,10,4,2,1,1,0,0,13,0
7,4,1411,0,0,1,12,1,0,0,1,0,0,0,1
4,2,21286,1,1,1,4,2,1,1,1,0,75,0,0
11,5,21287,1,1,1,11,3,0,1,1,0,6,0,0
34,1,12686,5,5,1,1,1,0,0,57,0,0,0,0
12,5,21288,1,1,2,11,4,1,0,1,0,0,0,0
19,5,9693,1,1,6,11,0,0,1,1,0,7,0,0
10,6,5810,5,5,1,1,1,0,0,1,0,26,0,1
50,4,21289,3,3,1,3,1,1,0,8,0,6,0,1
8,2,537,1,1,0,4,5,1,1,1,0,0,4,0
35,2,21290,5,5,1,9,1,0,0,1,0,17,0,0
8,0,1684,14,14,0,4,0,0,0,1,0,27,0,0
