41,2,15194,12,12,0,3,3,4,1,1,0,12,0,0
30,2,15195,1,1,1,9,1,1,0,1,0,0,0,0
4,2,15196,1,1,4,6,0,0,0,1,62,0,0,0
22,5,5638,5,5,0,11,3,0,0,1,0,13,0,0
27,2,7461,1,1,0,4,0,0,0,1,0,0,0,0
39,2,4546,5,5,1,1,1,0,0,1,0,4,0,0
29,3,1984,5,5,1,1,1,0,0,1,0,16,0,1
51,1,15197,1,1,0,3,3,1,1,1,0,0,0,0
33,1,2832,7,7,1,5,1,0,0,1,0,0,0,1
27,2,15198,1,1,1,9,1,0,0,1,0,0,0,0
50,3,15199,0,0,1,1,1,1,0,1,0,0,0,1
30,2,15200,1,1,1,6,1,0,0,1,36,8,0,0
2,1,5275,8,8,1,5,1,0,0,1,0,7,0,1
26,2,15201,5,5,0,0,0,0,1,1,0,0,0,0
39,2,3279,5,5,0,1,3,0,0,1,0,3,0,0
11,5,15202,5,5,0,11,3,0,1,1,0,19,0,0
13,2,15203,12,12,2,9,4,0,1,1,0,0,0,0
33,4,2627,1,1,2,1,0,0,1,1,0,0,0,0
30,2,15204,0,0,2,1,4,1,1,1,0,0,0,0
2,2,15205,0,0,1,8,1,0,0,1,0,4,0,0
1,2,15206,8,8,2,4,5,0,1,1,0,0,0,0
23,2,15207,1,1,3,8,5,1,0,1,0,0,0,0
55,5,15208,0,0,1,11,1,0,0,1,0,0,14,1
39,2,15209,1,1,0,2,0,0,0,1,0,0,0,0
14,3,14275,6,6,0,0,0,0,0,1,0,0,0,0
55,2,14377,3,3,2,5,0,0,0,1,0,25,0,0
27,2,1137,2,2,0,7,3,0,0,1,0,57,0,0
51,2,15210,0,0,0,9,5,0,0,1,0,0,0,0
42,2,12887,1,1,2,6,0,0,0,1,0,0,0,0
48,2,15211,0,0,2,3,4,0,1,1,0,39,1,0
16,4,8766,0,0,1,3,1,0,0,1,0,0,0,0
5,2,12801,0,0,0,0,5,1,1,1,0,0,0,0
24,2,5904,1,1,1,6,1,0,0,1,0,0,0,0
26,2,10021,2,2,1,9,1,0,0,1,0,0,0,0
62,5,15212,10,10,1,11,2,0,1,1,0,13,4,0
37,2,15213,3,3,0,9,0,0,1,1,0,0,0,0
25,2,4028,1,1,1,0,1,0,0,11,0,3,0,1
27,2,15214,0,0,0,3,4,0,1,1,0,0,0,0
32,8,15215,2,2,0,11,3,0,1,1,0,33,0,0
3,4,15216,1,1,6,4,0,0,1,1,0,6,0,0
51,2,9013,1,1,1,6,1,0,0,1,0,0,15,0
52,2,11766,5,5,1,5,1,0,0,1,0,0,0,1
26,2,15217,5,5,0,4,3,0,1,1,0,8,0,0
0,2,3155,11,11,1,4,1,0,0,1,0,0,5,0
23,2,4436,5,5,1,1,1,0,0,1,0,8,0,1
40,1,15218,1,1,1,6,1,0,0,1,0,6,0,0
21,2,15219,5,5,0,4,0,0,1,1,0,6,0,0
14,2,15220,5,5,1,3,1,1,0,1,0,0,2,1
17,2,15221,5,5,2,6,0,0,0,1,0,0,0,0
11,2,2906,0,0,0,0,0,0,1,1,0,0,0,0
29,4,6514,8,8,2,2,0,0,0,1,0,0,0,0
37,2,15222,5,5,2,0,4,1,1,1,0,0,0,0
11,2,11259,15,15,0,2,3,3,0,1,0,0,0,0
5,1,184,1,1,1,8,1,0,0,1,0,4,0,0
30,2,15223,1,1,1,6,1,0,0,1,0,0,0,1
26,0,6583,5,5,0,0,3,0,1,1,0,7,0,0
5,3,9247,1,1,1,0,1,0,0,1,0,0,9,1
58,2,15224,1,1,0,9,0,0,0,0,0,0,0,0
18,2,15225,2,2,1,6,1,0,0,1,0,0,0,0
33,2,15226,4,4,1,9,1,1,0,1,0,23,4,0
30,2,15227,5,5,0,8,0,0,0,1,0,0,0,0
1,1,15228,1,1,2,3,0,2,1,1,0,8,37,0
51,6,15229,1,1,0,5,3,0,0,1,0,4,0,0
35,4,15230,5,5,1,10,1,0,0,1,0,29,0,1
33,2,15231,5,5,1,3,1,0,0,1,0,0,33,1
49,2,15232,5,5,2,1,4,1,1,1,0,4,0,0
30,2,15233,1,1,2,0,0,4,1,1,48,0,0,0
13,2,15234,10,10,1,3,2,0,1,7,0,6,0,1
12,2,14669,0,0,1,1,1,0,0,10,0,4,0,0
5,4,15235,0,0,1,0,1,0,0,12,0,0,0,1
13,6,11760,0,0,2,1,0,0,0,1,0,0,0,0
20,2,15236,0,0,1,6,1,0,0,1,0,0,0,0
1,2,15237,1,1,1,6,1,0,0,1,0,0,0,0
4,2,15238,4,4,1,9,1,0,0,1,0,29,0,0
4,2,5080,1,1,1,9,1,0,0,1,0,0,0,0
21,1,3391,2,2,0,0,3,0,1,1,0,6,0,0
29,2,10490,1,1,1,9,1,0,0,1,0,0,0,0
9,1,12535,10,10,2,3,4,0,1,78,0,11,0,1
33,2,5739,5,5,1,1,1,0,0,1,0,0,0,1
8,2,1104,5,5,1,9,1,0,0,1,0,0,0,0
43,2,15239,2,2,1,4,1,0,0,1,0,0,0,1
26,2,15240,5,5,0,0,3,0,1,1,0,0,0,0
51,2,15241,0,0,1,4,1,0,0,1,0,3,0,1
50,2,15242,1,1,1,0,2,0,1,1,0,0,0,1
18,2,15243,0,0,3,3,0,2,1,1,0,0,13,0
18,2,12288,7,7,0,0,0,1,1,1,0,0,0,0
31,4,15244,6,6,0,0,0,0,0,14,0,0,0,0
13,2,629,3,3,1,3,1,0,0,8,0,0,0,1
39,2,460,0,0,1,5,1,0,0,1,0,16,0,1
2,1,15245,5,5,2,9,4,0,0,1,0,0,0,0
1,1,2526,7,7,0,4,0,0,0,1,0,4,0,0
48,2,15246,5,5,1,10,1,0,0,1,0,0,0,1
35,4,15247,5,5,1,12,1,0,0,1,0,0,0,1
39,2,15248,2,2,0,5,0,0,1,1,0,0,0,0
42,3,631,3,3,1,1,1,0,0,1,0,8,0,1
34,2,2138,1,1,1,9,1,0,0,1,0,0,0,0
35,2,15249,6,6,0,6,0,0,0,1,0,0,0,0
30,5,15250,15,15,2,11,0,0,1,1,0,0,10,0
10,2,15251,1,1,2,4,4,0,1,1,0,19,0,0
31,2,12528,15,15,0,1,0,0,0,1,0,29,9,0
