18,0,6066,5,5,2,1,0,1,1,1,0,0,0,0
7,3,6067,5,5,2,1,0,0,1,1,0,0,0,0
31,2,6068,1,1,0,5,0,0,1,1,0,0,0,0
63,6,6069,12,12,6,5,4,0,1,1,0,0,10,0
2,1,6070,1,1,1,3,1,0,0,1,0,4,0,1
19,1,6071,1,1,1,1,1,0,0,1,3,10,0,1
18,2,6072,5,5,1,6,1,0,0,10,0,7,0,0
32,2,6073,5,5,0,5,3,0,1,1,0,12,0,0
27,2,6074,1,1,1,0,2,1,1,1,0,0,0,0
39,4,5972,0,0,1,3,1,0,0,1,0,4,0,0
13,2,6075,5,5,2,1,5,1,1,1,0,16,0,0
42,2,6076,1,1,6,0,0,0,1,1,0,0,0,0
29,2,6077,1,1,2,3,0,0,0,1,0,0,0,0
13,2,6078,0,0,0,3,3,0,1,1,0,8,0,0
24,2,6079,1,1,2,2,3,0,0,1,0,0,0,0
42,2,6080,5,5,1,1,2,0,1,1,0,0,0,1
23,2,6081,1,1,4,10,0,0,1,1,0,50,0,0
33,4,6082,0,0,0,3,0,0,1,1,0,4,0,1
20,2,449,1,1,1,6,1,0,0,1,0,0,0,0
29,2,6083,1,1,1,9,1,1,0,1,0,0,0,0
12,0,6084,5,5,0,0,0,0,0,1,0,14,0,0
41,2,6085,12,12,0,4,3,0,0,1,0,9,0,0
29,2,6086,5,5,2,1,0,0,0,1,0,4,0,0
12,1,6087,6,6,0,5,0,0,0,1,0,5,0,0
18,2,135,0,0,1,5,1,0,0,1,0,8,0,1
37,2,6088,1,1,1,4,1,0,0,1,0,0,0,0
12,2,1467,1,1,1,3,1,0,0,1,0,4,0,0
47,2,6089,2,2,2,7,0,0,0,1,0,20,0,0
22,2,6090,5,5,0,4,3,0,1,1,0,9,0,0
39,2,6091,5,5,2,0,0,1,1,1,0,0,0,0
27,2,6092,4,4,0,2,3,0,0,1,0,30,0,0
25,2,6093,1,1,1,6,1,0,0,1,0,3,0,0
23,2,6094,3,3,2,3,4,0,1,1,0,4,0,0
25,2,6095,5,5,6,0,0,0,1,1,0,0,0,0
4,2,6096,3,3,1,3,1,0,0,1,0,3,0,1
52,5,6097,5,5,1,11,1,0,0,1,0,7,0,1
0,4,6098,3,3,2,3,4,0,1,1,0,0,0,0
11,2,6099,5,5,0,4,3,0,0,1,0,6,0,0
11,0,6100,15,15,0,1,0,0,0,1,0,0,0,0
35,2,6101,5,5,4,0,5,0,1,1,0,0,0,0
15,2,6102,0,0,1,3,2,0,1,1,0,0,0,0
7,2,6103,1,1,0,4,4,0,0,1,0,0,0,0
18,1,4094,1,1,1,6,1,0,0,1,0,0,0,0
30,2,6104,1,1,1,1,1,0,0,1,0,0,0,0
23,2,5126,0,0,1,5,2,0,1,1,0,29,0,1
5,3,3045,3,3,1,3,1,0,0,1,0,0,4,1
50,2,6105,7,7,6,3,0,0,1,1,0,0,0,0
38,1,6106,1,1,1,0,2,0,1,1,0,21,0,0
25,2,6107,1,1,1,3,2,0,1,1,0,39,0,0
58,2,6108,1,1,1,6,1,0,0,1,0,17,0,0
27,4,6109,5,5,1,12,1,0,0,1,0,44,0,1
16,2,6110,5,5,1,6,1,0,0,1,0,0,0,1
35,2,6111,1,1,2,7,3,0,0,1,0,8,0,0
12,2,6112,1,1,1,7,3,0,0,1,0,44,5,0
35,2,6113,5,5,0,6,0,2,0,1,0,0,20,0
16,2,6114,5,5,0,0,0,0,1,1,0,4,0,0
37,2,483,1,1,0,0,0,1,1,1,0,0,0,0
41,2,6115,2,2,0,4,3,0,0,1,0,30,0,0
23,2,6116,0,0,2,5,0,0,1,1,0,28,0,0
30,6,5518,1,1,1,6,1,0,0,1,0,0,0,0
30,1,6117,1,1,1,1,1,0,0,1,0,14,0,0
32,5,6118,1,1,0,11,3,0,1,1,0,7,0,0
25,4,6119,6,6,4,0,0,1,1,1,0,0,0,0
49,5,6120,7,7,1,11,1,0,0,1,0,4,0,1
51,2,6121,5,5,0,4,3,0,1,1,0,27,0,0
17,2,6122,14,14,1,8,1,0,0,1,0,8,0,0
24,2,617,5,5,2,5,3,0,1,1,0,17,12,0
21,2,6123,1,1,0,7,3,0,0,1,0,7,0,0
33,2,6124,8,8,2,2,5,1,0,1,0,0,0,0
12,2,6125,1,1,3,4,4,0,1,1,0,9,0,0
34,2,6126,0,0,1,1,1,0,0,7,0,8,0,1
10,2,6127,0,0,0,10,0,0,1,1,0,0,0,1
18,2,6128,3,3,0,1,0,2,0,1,0,0,0,0
7,2,2171,7,7,1,10,1,0,0,4,0,0,0,0
63,1,6129,15,15,1,8,1,0,0,1,0,43,0,0
41,2,6130,12,12,0,4,3,0,0,1,0,33,10,0
12,2,4847,0,0,4,3,4,0,1,1,0,19,0,0
16,4,6131,3,3,1,3,1,0,0,1,0,0,0,1
21,5,6132,1,1,0,11,3,0,0,1,0,0,23,0
51,2,6133,1,1,0,9,4,4,1,1,0,0,16,0
30,3,6134,3,3,1,1,1,0,0,1,0,0,0,1
6,2,6135,6,6,1,5,1,0,0,7,0,8,0,1
7,0,6136,5,5,4,12,4,0,0,1,0,0,0,0
18,2,6137,1,1,4,0,4,0,1,1,0,19,0,0
28,2,6138,2,2,1,4,1,0,0,1,0,10,0,0
18,2,4271,7,7,3,3,4,0,1,1,0,11,0,0
39,2,6139,0,0,0,3,0,0,0,1,0,0,0,0
20,2,6140,8,8,2,7,4,0,0,1,0,0,0,0
9,2,928,0,0,0,5,3,0,0,1,0,8,0,0
41,2,6141,5,5,0,0,3,0,0,1,0,9,0,0
6,2,4099,1,1,2,0,0,0,1,1,0,7,0,0
0,2,906,10,10,1,3,1,0,0,1,0,3,0,1
14,1,4453,5,5,2,0,4,0,1,1,0,4,0,0
5,1,1882,5,5,0,3,0,1,0,1,0,0,0,0
24,2,6142,15,15,0,4,0,0,0,1,0,7,0,0
37,2,6143,7,7,1,6,1,0,0,1,0,0,5,0
26,2,6144,5,5,0,5,3,0,1,1,0,13,0,0
19,5,6145,5,5,1,11,1,0,0,1,0,0,0,0
29,2,5895,0,0,1,0,1,0,0,31,0,0,0,1
3,1,6146,12,12,3,7,0,0,0,1,0,55,0,0
